IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo83: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.177 | timestamp: 1751931982.0236857
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo84: [False, True, False, False, False, True, True, False] | Valor do passo: 70 | Duracao (s): 4.804 | timestamp: 1751931986.8277884
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo85: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 1.933 | timestamp: 1751931988.7609897
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo86: [False, False, False, False, True, True, True, False] | Valor do passo: 14 | Duracao (s): 1.827 | timestamp: 1751931990.5883062
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo87: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.052 | timestamp: 1751931990.6403432
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo88: [False, False, False, True, False, True, True, False] | Valor do passo: 22 | Duracao (s): 0.067 | timestamp: 1751931990.7077708
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo89: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.040 | timestamp: 1751931990.7476344
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo90: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.170 | timestamp: 1751931990.917537
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo91: [False, False, True, False, False, True, False, True] | Valor do passo: 37 | Duracao (s): 0.794 | timestamp: 1751931991.711164
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo92: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.211 | timestamp: 1751931991.9218538
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
