IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo40: [False, False, False, False, True, False, False, True] | Valor do passo: 9 | Duracao (s): 1.913 | timestamp: 1747875552.530432
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo41: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.190 | timestamp: 1747875552.7195656
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo42: [True, False, False, False, False, False, False, True] | Valor do passo: 129 | Duracao (s): 10.993 | timestamp: 1747875563.7139595
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo43: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.912 | timestamp: 1747875565.6259944
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo44: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 2.000 | timestamp: 1747875567.6262555
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo45: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.021 | timestamp: 1747875567.6468127
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo46: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.076 | timestamp: 1747875567.7267554
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo47: [False, True, True, False, False, False, False, True] | Valor do passo: 97 | Duracao (s): 0.037 | timestamp: 1747875567.7601929
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo48: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.715 | timestamp: 1747875568.475436
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo49: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.090 | timestamp: 1747875568.5659122
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo50: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.574 | timestamp: 1747875569.139661
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo51: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.144 | timestamp: 1747875569.282624
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo52: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.059 | timestamp: 1747875569.3416336
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo53: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.028 | timestamp: 1747875569.3700101
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo54: [False, False, False, False, True, False, False, True] | Valor do passo: 9 | Duracao (s): 1.917 | timestamp: 1747875571.2865949
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo55: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.200 | timestamp: 1747875571.486501
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo56: [True, False, False, False, False, False, False, True] | Valor do passo: 129 | Duracao (s): 7.890 | timestamp: 1747875579.3761525
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo57: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.940 | timestamp: 1747875581.3157103
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo58: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 2.013 | timestamp: 1747875583.3288865
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo59: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.008 | timestamp: 1747875583.337893
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo60: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.071 | timestamp: 1747875583.4074194
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo61: [False, True, True, False, False, False, False, True] | Valor do passo: 97 | Duracao (s): 0.048 | timestamp: 1747875583.4554305
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo62: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.714 | timestamp: 1747875584.1691136
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo63: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.050 | timestamp: 1747875584.2191162
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo64: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.621 | timestamp: 1747875584.8397782
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo65: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.143 | timestamp: 1747875584.9831572
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo66: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.061 | timestamp: 1747875585.0441618
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo67: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.018 | timestamp: 1747875585.0617
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo68: [False, False, False, False, True, False, False, True] | Valor do passo: 9 | Duracao (s): 1.913 | timestamp: 1747875586.975438
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo69: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.207 | timestamp: 1747875587.182527
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo70: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 30.004 | timestamp: 1747875617.185141
