Passo61: [True, False, False, False, True] | Valor do passo: 17 | Duracao (s): 0.281 | timestamp: 1747874732.0277634
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo62: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 0.226 | timestamp: 1747874732.2540576
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo63: [True, False, True, False, False] | Valor do passo: 20 | Duracao (s): 0.244 | timestamp: 1747874732.4984674
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo64: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 0.333 | timestamp: 1747874732.8308096
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo65: [True, False, False, False, True] | Valor do passo: 17 | Duracao (s): 0.437 | timestamp: 1747874733.268571
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo66: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 0.328 | timestamp: 1747874733.5962467
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo67: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.122 | timestamp: 1747874733.7178264
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo68: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.409 | timestamp: 1747874734.1268697
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo69: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.247 | timestamp: 1747874734.373894
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo70: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.779 | timestamp: 1747874735.1529372
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo71: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.299 | timestamp: 1747874735.4514887
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo72: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.305 | timestamp: 1747874735.7562475
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo73: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.018 | timestamp: 1747874735.774234
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo74: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.082 | timestamp: 1747874735.856621
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo75: [False, True, True, False, False] | Valor do passo: 12 | Duracao (s): 0.032 | timestamp: 1747874735.887596
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo76: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.701 | timestamp: 1747874736.5899763
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo77: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.098 | timestamp: 1747874736.687522
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo78: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.590 | timestamp: 1747874737.2777672
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo79: [False, False, True, False, True] | Valor do passo: 5 | Duracao (s): 0.095 | timestamp: 1747874737.3723574
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo80: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.038 | timestamp: 1747874737.410347
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo81: [False, False, True, False, True] | Valor do passo: 5 | Duracao (s): 0.066 | timestamp: 1747874737.4766467
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo82: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.021 | timestamp: 1747874737.4976408
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo83: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.077 | timestamp: 1747874737.5743287
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo84: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.875 | timestamp: 1747874739.4487257
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo85: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.190 | timestamp: 1747874739.6382802
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo86: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 30.003 | timestamp: 1747874769.641837
